Player,Par 3 Average Score,Par 4 Average Score,Par 5 Average Score,Stroke Average,Driving Fairways Hit %,DD,GIR (%),Scramble (%),Sand Saves (%),Putts per Round
COETZEE George,3.05,3.99,4.53,70.09,0.5180,312.11,0.6550,0.5902,0.4719,27.94
HOWELL David,3.14,4.16,4.87,73.20,0.5060,275.61,0.5503,0.5392,0.5632,27.98
JAMIESON Scott,2.96,4.04,4.62,70.35,0.5420,302.14,0.6472,0.6298,0.5785,28.24
PAVAN Andrea,3.06,4.17,4.79,72.84,0.4711,290.04,0.5969,0.5259,0.4624,28.27
GARCIA RODRIGUEZ Sebastian,3.11,4.06,4.70,71.42,0.4617,300.63,0.6077,0.5876,0.5470,28.29
LARRAZÁBAL Pablo,3.08,4.06,4.59,71.13,0.5051,296.85,0.6386,0.5876,0.5676,28.34
APHIBARNRAT Kiradech,3.04,4.05,4.86,71.58,0.5510,291.57,0.6175,0.5743,0.4844,28.35
GREEN Gavin,3.01,3.99,4.66,70.22,0.5166,303.94,0.6553,0.6380,0.5610,28.38
PARATORE Renato,3.07,4.07,4.80,71.58,0.4818,300.74,0.6126,0.6080,0.5431,28.39
LI Haotong,3.05,4.08,4.58,71.12,0.4434,304.01,0.6567,0.5405,0.4697,28.42
WINTHER Jeff,3.07,4.05,4.71,71.16,0.5607,295.86,0.6378,0.5817,0.5464,28.44
QUIROS Alvaro,3.04,4.10,4.73,71.70,0.4915,303.10,0.5999,0.5947,0.6163,28.44
MACINTYRE Robert,2.98,4.03,4.61,70.47,0.5425,299.66,0.6619,0.6056,0.5514,28.53
DETRY Thomas,3.04,4.05,4.53,70.65,0.4984,311.14,0.6549,0.5726,0.5109,28.57
KINHULT Marcus,3.13,4.04,4.59,70.94,0.5529,295.42,0.6299,0.6026,0.5402,28.59
SCHNEIDER Marcel,3.04,4.00,4.60,70.26,0.5944,297.82,0.6753,0.6382,0.5366,28.59
LAGERGREN Joakim,3.04,4.08,4.67,71.34,0.4716,302.73,0.6352,0.5519,0.4839,28.59
FOX Ryan,3.08,3.99,4.45,69.80,0.4425,318.05,0.6886,0.5728,0.5207,28.59
HARDING Justin,3.09,4.00,4.61,70.49,0.5992,295.87,0.6608,0.6098,0.5077,28.60
HIDALGO Angel,3.11,4.01,4.67,70.61,0.5214,287.07,0.6450,0.5868,0.5172,28.61
STORM Graeme,3.13,4.18,4.95,73.61,0.5694,274.02,0.5414,0.5113,0.5068,28.62
PULKKANEN Tapio,3.02,4.03,4.63,70.66,0.4613,312.14,0.6551,0.5941,0.4742,28.62
CAÑIZARES Alejandro,3.09,4.08,4.78,71.92,0.5603,293.07,0.6286,0.5329,0.4854,28.63
OTAEGUI Adrian,3.03,3.99,4.67,70.31,0.6581,284.25,0.6730,0.7004,0.6055,28.69
BJØRN Thomas,3.05,4.11,4.85,72.45,0.5619,282.30,0.5938,0.5836,0.5362,28.69
MORRISON James,3.04,4.05,4.62,70.85,0.6184,285.14,0.6482,0.6000,0.4057,28.71
LORENZO-VERA Mike,3.01,4.04,4.70,70.83,0.5319,296.04,0.6389,0.5915,0.5165,28.71
LOMBARD Zander,3.14,4.02,4.68,71.21,0.5395,304.68,0.6432,0.5733,0.4750,28.72
DE JAGER Louis,3.07,3.99,4.58,70.07,0.4972,315.71,0.6758,0.5702,0.5060,28.72
WU Ashun,3.09,4.02,4.62,70.67,0.5688,294.88,0.6611,0.5865,0.4783,28.72
HANSEN Joachim B,3.10,4.08,4.72,71.64,0.5040,303.91,0.6411,0.5278,0.4352,28.74
LONG Hurly,3.07,4.02,4.51,70.30,0.5055,305.19,0.6700,0.5871,0.5556,28.77
VÄLIMÄKI Sami,3.07,4.04,4.65,71.08,0.5472,305.53,0.6477,0.6266,0.5051,28.80
WILSON Oliver,3.12,3.99,4.65,70.67,0.5009,305.34,0.6538,0.6086,0.5702,28.82
MERONK Adrian,3.12,3.98,4.53,70.18,0.5556,307.39,0.6852,0.5701,0.5109,28.82
FICHARDT Darren,3.06,4.07,4.75,71.61,0.6085,287.97,0.6382,0.5686,0.5000,28.82
BEKKER Oliver,3.10,4.03,4.54,70.60,0.5497,312.76,0.6568,0.5989,0.5036,28.83
ANGLES Pep,3.15,4.07,4.75,71.80,0.4804,304.03,0.6270,0.5313,0.4286,28.84
WARREN Marc,3.11,4.10,4.84,72.30,0.4779,294.60,0.6177,0.5456,0.5299,28.86
FARR Oliver,3.04,4.04,4.79,71.38,0.6232,285.85,0.6430,0.6276,0.5634,28.87
GUERRIER Julien,3.06,4.06,4.61,71.03,0.5155,304.16,0.6474,0.5799,0.5520,28.87
BJÖRK Alexander,3.00,4.05,4.62,70.61,0.5920,287.09,0.6707,0.5928,0.4554,28.89
DU PLESSIS Hennie,3.02,4.00,4.48,69.76,0.5551,315.70,0.6996,0.5514,0.4426,28.89
VAN TONDER Daniel,3.08,4.05,4.59,70.84,0.5614,298.54,0.6488,0.5836,0.5507,28.91
SANTOS Ricardo,3.05,4.07,4.74,71.44,0.5184,293.35,0.6325,0.5858,0.3879,28.91
SHINKWIN Callum,3.05,4.04,4.61,70.92,0.4930,310.14,0.6480,0.5380,0.4109,28.92
ZANOTTI Fabrizio,3.08,3.98,4.61,70.31,0.6603,296.79,0.6902,0.6241,0.5514,28.95
HUIZING Daan,3.14,4.02,4.65,71.05,0.5567,290.71,0.6674,0.5734,0.5596,28.95
BJERREGAARD Lucas,3.11,4.02,4.70,71.08,0.4483,308.26,0.6533,0.5558,0.4891,28.97
VON DELLINGSHAUSEN Nicolai,3.08,4.07,4.62,71.18,0.5038,301.74,0.6534,0.5477,0.4608,28.97
VAN DRIEL Darius,3.03,4.02,4.71,70.87,0.6213,288.62,0.6613,0.5949,0.5102,28.98
FISHER Oliver,3.14,4.15,4.82,73.00,0.4690,288.83,0.5962,0.4891,0.5055,28.98
PEPPERELL Eddie,3.01,3.99,4.65,70.26,0.6307,284.20,0.7001,0.6019,0.4624,28.99
SULLIVAN Andy,3.06,4.06,4.58,70.89,0.5753,293.76,0.6557,0.5833,0.4787,28.99
NEMECZ Lukas,3.01,4.03,4.60,70.38,0.6079,299.23,0.6819,0.6111,0.5229,29.01
TARRIO Santiago,3.08,4.03,4.71,71.06,0.6072,282.62,0.6629,0.6049,0.4545,29.02
FDEZ-CASTAÑO Gonzalo,3.12,4.10,4.81,72.19,0.5374,287.06,0.6125,0.5467,0.5556,29.02
CAMPILLO Jorge,3.06,4.03,4.57,70.56,0.5577,304.47,0.6698,0.5770,0.5714,29.04
